x,y,z
12.087047,54.093101,22.1
12.086731,54.094397,21.2
12.087118,54.094632,20.7
12.086851,54.094798,20.5
12.086456,54.094560,21.5
12.086559,54.092911,22.9
12.087147,54.092694,22.4
12.086509,54.093528,21.6
12.086214,54.093327,22.5
12.086062,54.093942,21.7
12.086172,54.094261,22.0
12.086083,54.095037,20.9
12.085739,54.093695,22.3
12.085523,54.094093,22.4
12.085666,54.094792,21.6
12.085585,54.095270,21.3
12.085926,54.095605,20.8
12.084553,54.097175,19.8
12.088142,54.104703,10.8
12.076377,54.105188,15.7
12.076858,54.105451,15.1
12.076118,54.105439,15.4
12.089711,54.100051,16.1
12.089628,54.100870,15.4
12.089654,54.104843,8.8
12.089531,54.099190,16.9
12.089558,54.100760,15.4
12.089427,54.099216,16.9
12.089526,54.099366,16.8
12.089420,54.099307,16.9
12.089399,54.099703,16.6
12.089599,54.100236,16.0
12.089512,54.100518,15.5
12.089449,54.100769,15.5
12.089555,54.100869,15.4
12.089198,54.100038,16.6
12.089207,54.100834,15.5
12.089275,54.100935,15.4
12.089238,54.100962,15.3
12.089195,54.099561,16.9
12.089173,54.099634,16.8
12.089103,54.099762,16.7
12.089038,54.099826,16.4
12.089256,54.099823,16.6
12.089252,54.099870,16.6
12.089117,54.099944,16.7
12.089069,54.100159,16.5
12.089014,54.100231,16.4
12.089100,54.100287,16.2
12.089344,54.100566,15.6
12.089138,54.100869,15.5
12.089065,54.100863,15.5
12.089030,54.100958,15.4
12.089684,54.104109,10.4
12.089533,54.104148,10.6
12.089037,54.104515,10.3
12.089095,54.104543,10.1
12.088969,54.099968,16.7
12.089040,54.100051,16.6
12.088883,54.100365,16.3
12.088991,54.099107,17.4
12.088891,54.099060,17.4
12.088800,54.099201,17.6
12.088815,54.099138,17.5
12.088677,54.099306,17.5
12.088775,54.099467,17.4
12.088734,54.099541,17.5
12.088835,54.100164,16.5
12.088788,54.100247,16.5
12.088708,54.100375,16.4
12.088999,54.100664,15.8
12.088888,54.100465,16.2
12.088756,54.100634,16.0
12.088896,54.100917,15.5
